COW ID 	Power Source	Shelter Type	Location	Latitude	Longitude	"Single Generator Capacity
KVA"	"Single Generator Working-hours
Hours"	"SEC Meter Capacity
Amp"	"Backup Generator Capacity
KVA"	"Backup Generator Working-hours
Hours"	"Rectifier Capacity
KW"	"AC1 Capacity
Btu/h"	"AC1 Age
Years"	"AC2 Capacity
Btu/h"	"AC2 Age
Years"	"Batteries Capacity
Ah"	"Number of Strings
Number"	"Batteries Age
Years"	"Avrage lead-acid Charge Rate  c-rate
A/Ah"	"Avrage Lithium  disCharge Rate  c-rate
A/Ah"	"Telecom Load All
KW"	"Telecom Load inside Shelter
KW"	"Telecom Load All
KW"	"Telecom load heat dissipation
KBtu/h"	"Prime Generator Net Power output
KW"	"Prime SEC Net Power Output
KW"	"Backup Generator Net Power Output
KW"	"Rectifier Net Power Output
KW"	"AC1 Net Cooling Capacity
KBtu/h"	"AC1 Net Power Demand
KW"	"AC2 Net Cooling Capacity
KBtu/h"	"AC2 Net Power Demand
KW"	"Batteries Strings MAX useful capacity
Ah"	"Batteries Strings MAX useful capacity
KWh"	"Batteries Strings MAX useful Time
Hours"	"Batteries Strings Max Charging Current
Amp"	"Batteries Strings Max Charging Power
KW"	"Batteris Strings Min Charing Time
Hours"	"Batteries Strings Max DisCharging Current
Amp"	Batteries Strings Max DisCharging PowerKW	"Batteris Strings Min DisCharing Time
Hours"	"Calculated Discharge Current
Amp"
CWN105	SB	Shelter	Arafat	21.35622	39.98477	0	0	150	30	0	18	36000		36000	0	200	3		0.5	0.8	8.4	3.6	12	12283.2	0	46.92	21	18	 29,880 	2.50	29880	2.50	300	15	1	225	1.44	1.3	60	3	5	240
CWN923	SG	Shelter	Arafat	21.361257	39.973944	30	3110	0	0	0	19.2	36000		36000		190	5		0.5	0.8	10.5	4.5	15	15354	20.66	0	0	19.2	 29,880 	2.50	29880	2.50	475	23.75	2	240	1.536	2.0	95	4.75	5	300
CWN991	SB	Shelter	Arafat	21.37224	39.93826	0	0	100	30	15578	19.2	48000		48000		200	4		0.5	0.8	8.4	3.6	12	12283.2	0	31.28	20	19.2	 39,840 	3.34	39840	3.34	400	20	2	240	1.536	1.7	80	4	5	240
CWN092	SG	Shelter	Arafat	21.333244	39.971526	30	25098	0	0	0	16	36000		36000		200	2		0.5	0.8	0	0	0	0	19.09	0	0	16	 29,880 	2.50	29880	2.50	200	10		200	1.28	1.0	40	2	5	0
CWN076	SG	Shelter	Arafat	21.3692	39.977127	30	18324	0	0	0	15	36000		36000		200	7		0.5	0.8	8.4	3.6	12	12283.2	19.57	0	0	15	 29,880 	2.50	29880	2.50	700	35	3	187.5	1.2	3.7	140	7	5	240
CWN108	SB	Shelter	Arafat	21.34916	39.98367	0	0	100	30	42885	18	36000		36000		200	3		0.5	0.8	8.4	3.6	12	12283.2	0	31.28	18	18	 29,880 	2.50	29880	2.50	300	15	1	225	1.44	1.3	60	3	5	240
CWN087	SB	Shelter	Arafat	21.35694	39.97782	0	0	70	35	0	21	36000		36000		190	4		0.5	0.8	8.4	3.6	12	12283.2	0	21.896	24	21	 29,880 	2.50	29880	2.50	380	19	2	262.5	1.68	1.4	76	3.8	5	240
CWN075	SB	Shelter	Arafat	21.346996	39.957369	0	0	100	35	1798	21.6	36000		36000		200	4		0.5	0.8	8.4	3.6	12	12283.2	0	31.28	24	21.6	 29,880 	2.50	29880	2.50	400	20	2	270	1.728	1.5	80	4	5	240
CWN072	SB	Shelter	Arafat	21.34196	39.97602	0	0	100	25	0	21.6	36000		36000		295	5		0.5	0.8	8.4	3.6	12	12283.2	0	31.28	17	21.6	 29,880 	2.50	29880	2.50	737.5	36.875	3	270	1.728	2.7	147.5	7.375	5	240
CWN078	SB	Shelter	Arafat	21.34051	39.99548	0	0	100	35	0	16.2	36000		36000		200	4		0.5	0.8	8.4	3.6	12	12283.2	0	31.28	24	16.2	 29,880 	2.50	29880	2.50	400	20	2	202.5	1.296	2.0	80	4	5	240
